tbl_cotas.id_consultor,Regiões.regiao,tbl_cotas.Consultor_Matricula,tbl_cotas.nm_unidade_bi_original,Medidas.Produção Oficial,Medidas.Retenção
57845748000102,,010134 RHIZA INVESTIMENTOS LTDA,,85869288,0.95446567578387276
55195504000104,,008612 HAZAB INVESTIMENTOS LTDA,,36891312,0.997289334681293
57442936000190,,010135 DANILOW & LIMA LTDA,,21909336,1
61943900000167,,011940 AGAPE INVESTIMENTOS LTDA,,10344661,0.88379425870021255
50453150000129,,007008 LH SERVIÇOS FINANCEIROS LTDA,,10295000,0.93200582807187959
61766584000103,,012718 ZINELLI INVESTIMENTOS LTDA,,5440000,0.94485294117647056
31205822000132,,003635 BLESSING CORRET. DE CONS. LTDA,,5406490,0.852630819626042
61328520000112,,011628 E&R CONSULTORIA E INVESTIMENTOS LTDA,,4811660,0.89192918867916682
64039490000112,,013614 LB CONSULTORIA E INVESTIMENTOS LTDA,,3795000,1
45004193000197,,006760 QUALITY HOME INVEST LTDA,,2550754.1799999997,1
63441781000170,,013641 NERIAH INVESTIMENTOS LTDA,,2130000,1
63161393000135,,013050 ZION INVESTIMENTOS LTDA,,430000,1
62403007000101,,013163 MANAH INVESTIMENTOS LTDA,,225000,1
